#### EXPORT DONNEES METEO POUR "MONTRéAL" (LAT/LON: 45.5086699/-73.5539925)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-31,-11,-23,4,-23,-15,-13,0,95,6.375,1031,15,0,0,-24,143,113,113,0,1,8.7,météo très défavorable,17:00:00,07:16:00,-22
2021-02-01,-9,-21,13,-21,-14,-9,0,95,7,1027,30.875,0,0,-28,143,116,116,0,1,8.7,météo très défavorable,17:01:00,07:15:00,-20
2021-02-02,-4,-9,32,-8,-5,-4,13.6,94,5,1020,81.25,0,0,-17,122,230,338,6.6,2,3.7,météo très défavorable,17:03:00,07:14:00,-9
2021-02-03,-1,-11,24,-4,-2,-1,5.8,91,3.75,1007,94.375,0,0,-11,338,338,329,4.8,1,3.7,météo très défavorable,17:04:00,07:13:00,-4
2021-02-04,-4,-8,14,-7,-6,-5,0.1,94,9.625,1011,54,0,0,-12,116,116,116,0,1,8.7,météo très défavorable,17:06:00,07:11:00,-6
2021-02-05,0,-9,21,-9,-3,-0,6.7,99,4.75,1010,70.75,0,0,-13,119,338,335,5,1,3.7,météo très défavorable,17:07:00,07:10:00,-9
2021-02-06,-6,-9,23,-9,-7,-8,1.1,94,6.125,1015,65.625,0,0,-15,338,332,116,0.9,1,3.8,météo très défavorable,17:09:00,07:09:00,-8
2021-02-07,-6,-14,9,-14,-8,-6,2.2,95,7,1020,77.5,0,0,-19,122,332,338,1.9,2,3.8,météo très défavorable,17:10:00,07:07:00,-13
2021-02-08,-10,-18,11,-18,-13,-12,0,91,10,1030,18.875,0,0,-25,116,116,116,0,2,8.7,météo très défavorable,17:12:00,07:06:00,-15
2021-02-09,-8,-16,9,-14,-10,-9,3.5,96,5.125,1031,91.5,0,0,-18,332,338,338,3,1,3.8,météo très défavorable,17:13:00,07:04:00,-16
2021-02-10,-10,-15,18,-15,-11,-12,0.2,95,8.625,1029,51.125,0,0,-21,116,116,116,0.1,1,8.7,météo très défavorable,17:15:00,07:03:00,-14
2021-02-11,-10,-16,17,-15,-11,-12,0,90,10,1031,63.75,0,0,-20,122,122,113,0,1,5.4,météo très défavorable,17:16:00,07:02:00,-15
2021-02-12,-16,-24,10,-24,-19,-16,0,91,10,1032,49.75,0,0,-31,122,116,116,0,2,5.4,météo très défavorable,17:18:00,07:00:00,-22
2021-02-13,-16,-24,10,-24,-19,-16,0,94,10,1034,51,0,0,-32,116,116,122,0,2,8.7,météo très défavorable,17:19:00,06:59:00,-22
2021-02-14,-8,-21,6,-15,-11,-9,2.4,97,6.625,1028,72.25,0,0,-20,338,326,143,2,1,5.6,météo très défavorable,17:21:00,06:57:00,-15
2021-02-15,-6,-14,5,-13,-8,-7,2.1,94,5,1027,80.75,0,0,-13,143,326,338,1.8,1,4,météo très défavorable,17:22:00,06:55:00,-14
2021-02-16,-7,-10,23,-8,-7,-7,22.8,95,2.375,1021,97.625,0,0,-16,338,338,338,19.1,1,4,météo très défavorable,17:23:00,06:54:00,-8
2021-02-17,-11,-17,21,-15,-14,-12,0.6,87,8.375,1031,30.875,0,0,-26,116,116,116,0.3,1,8.7,météo très défavorable,17:25:00,06:52:00,-12
2021-02-18,-7,-16,6,-16,-9,-8,0,97,6.75,1034,72.75,0,0,-20,143,116,122,0,1,7.1,météo très défavorable,17:26:00,06:51:00,-15
2021-02-19,-6,-11,15,-11,-9,-6,4,96,5.625,1029,81.375,0,0,-18,122,338,338,3.4,2,4,météo très défavorable,17:28:00,06:49:00,-10
2021-02-20,-4,-10,8,-10,-6,-5,2.5,96,5.75,1022,97.875,0,0,-14,338,122,122,1.9,1,4.1,météo très défavorable,17:29:00,06:47:00,-9
2021-02-21,-6,-15,13,-15,-9,-6,0,90,10,1032,29.875,0,0,-19,116,116,116,0,2,8.7,météo très défavorable,17:31:00,06:46:00,-13
2021-02-22,-0,-10,25,-7,-2,-0,7.5,94,4.625,1028,92.75,0,0,-13,338,338,338,6.4,1,4.1,météo très défavorable,17:32:00,06:44:00,-10
2021-02-23,1,-4,18,1,0,-1,3.3,98,4.125,1002,100,1,1,-5,371,122,338,2.7,1,4.1,météo très défavorable,17:33:00,06:42:00,0
2021-02-24,1,-5,19,-1,-1,-1,5.5,99,7.5,1010,81,1,2,-9,116,326,320,3.1,1,5.6,météo très défavorable,17:35:00,06:41:00,1
2021-02-25,-2,-12,21,-8,-11,-11,7.2,85,8.375,1023,67.625,0,0,-20,323,116,119,6,1,8.7,météo très défavorable,17:36:00,06:39:00,-2
2021-02-26,-2,-16,12,-16,-8,-2,0.3,93,10,1029,71.5,0,0,-21,119,326,326,0.2,2,4.1,météo très défavorable,17:38:00,06:37:00,-16
2021-02-27,3,-11,24,-6,-1,3,13.7,100,8,1028,62.5,3,3,-11,122,302,299,0.5,2,4.1,météo très défavorable,17:39:00,06:35:00,-7
2021-02-28,1,-5,11,-3,0,0,1.7,100,4.625,1023,70,1,2,-5,143,248,389,0,2,5.7,météo très défavorable,17:40:00,06:34:00,-2
