"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,67","45,03","ABERCORN","7020040","1985-03-03","1985","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-04","1985","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-05","1985","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-06","1985","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-07","1985","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-08","1985","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-09","1985","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-10","1985","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-11","1985","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-12","1985","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-13","1985","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-14","1985","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-15","1985","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-16","1985","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-17","1985","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-18","1985","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-19","1985","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-20","1985","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-21","1985","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-22","1985","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-23","1985","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-24","1985","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-25","1985","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-26","1985","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-27","1985","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-28","1985","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-29","1985","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-30","1985","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-03-31","1985","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-01","1985","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-02","1985","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-03","1985","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-04","1985","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-05","1985","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-06","1985","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-07","1985","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-08","1985","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-09","1985","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-10","1985","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-11","1985","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-12","1985","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72,67","45,03","ABERCORN","7020040","1985-04-13","1985","04","13","","","","","","","","","","","","","","","","","","","","","","",""
