DATE       ,MAX_TEMPERATURE_C ,MIN_TEMPERATURE_C ,WINDSPEED_MAX_KMH ,TEMPERATURE_MORNING_C ,TEMPERATURE_NOON_C ,TEMPERATURE_EVENING_C ,PRECIP_TOTAL_DAY_MM ,HUMIDITY_MAX_PERCENT ,VISIBILITY_AVG_KM ,PRESSURE_MAX_MB ,CLOUDCOVER_AVG_PERCENT ,HEATINDEX_MAX_C ,DEWPOINT_MAX_C ,WINDTEMP_MAX_C ,WEATHER_CODE_MORNING ,WEATHER_CODE_NOON ,WEATHER_CODE_EVENING ,TOTAL_SNOW_MM ,UV_INDEX ,SUNHOUR ,OPINION                ,SUNSET   ,SUNRISE  ,TEMPERATURE_NIGHT_C
2022-02-01 ,-8                ,-25               ,               10 ,-24                   ,-14                ,-10                   ,                0   ,                 100 ,            5     ,           1037 ,                58     ,              0 ,             0 ,-30            ,                 260 ,              116 ,                 122 ,          0   ,       1 ,    5.4 ,météo très défavorable ,17:01:00 ,07:15:00 ,-25
2022-02-02 ,2                 ,-2                ,               23 ,-2                    ,1                  ,1                     ,                4.1 ,                 100 ,            9.625 ,           1026 ,                78.625 ,              2 ,             2 ,-8             ,                 122 ,              122 ,                 296 ,          0   ,       2 ,    3.7 ,météo très défavorable ,17:02:00 ,07:14:00 ,-2
2022-02-03 ,0                 ,-10               ,                9 ,-4                    ,-7                 ,-9                    ,                2.5 ,                  97 ,            3.5   ,           1035 ,               100     ,              0 ,             0 ,-12            ,                 338 ,              332 ,                 332 ,          2.1 ,       1 ,    3.7 ,météo très défavorable ,17:04:00 ,07:13:00 ,-1
2022-02-04 ,-12               ,-19               ,               19 ,-16                   ,-15                ,-15                   ,                0   ,                  85 ,           10     ,           1036 ,                70     ,              0 ,             0 ,-26            ,                 122 ,              116 ,                 113 ,          0   ,       1 ,    5.4 ,météo très défavorable ,17:05:00 ,07:12:00 ,-15
2022-02-05 ,-13               ,-21               ,               10 ,-21                   ,-15                ,-16                   ,                0   ,                  96 ,            6     ,           1034 ,                61.75  ,              0 ,             0 ,-21            ,                 143 ,              116 ,                 113 ,          0   ,       2 ,    5.4 ,météo très défavorable ,17:07:00 ,07:10:00 ,-21
2022-02-06 ,-9                ,-22               ,               14 ,-20                   ,-12                ,-9                    ,                0.1 ,                  97 ,            6.125 ,           1034 ,                87     ,              0 ,             0 ,-25            ,                 260 ,              122 ,                 122 ,          0.1 ,       1 ,    3.7 ,météo très défavorable ,17:08:00 ,07:09:00 ,-19
2022-02-07 ,-1                ,-9                ,               13 ,-8                    ,-4                 ,-6                    ,                0   ,                  90 ,            8     ,           1027 ,                73     ,              0 ,             0 ,-14            ,                 122 ,              116 ,                 143 ,          0   ,       1 ,    8.7 ,météo très défavorable ,17:10:00 ,07:08:00 ,-8
2022-02-08 ,-1                ,-11               ,                5 ,-11                   ,-2                 ,-2                    ,                0.3 ,                  99 ,            5.875 ,           1021 ,                89.375 ,              0 ,             0 ,-14            ,                 260 ,              332 ,                 122 ,          0.3 ,       1 ,    3.8 ,météo très défavorable ,17:11:00 ,07:06:00 ,-8
2022-02-09 ,-1                ,-11               ,               13 ,-10                   ,-5                 ,-2                    ,                0.6 ,                  97 ,            4.75  ,           1014 ,                80     ,              0 ,             0 ,-16            ,                 143 ,              119 ,                 122 ,          0.5 ,       1 ,    5.4 ,météo très défavorable ,17:13:00 ,07:05:00 ,-9
2022-02-10 ,1                 ,-1                ,               23 ,-0                    ,1                  ,1                     ,                1.9 ,                  99 ,            6.625 ,           1008 ,               100     ,              1 ,             1 ,-4             ,                 311 ,              338 ,                 326 ,          1.2 ,       1 ,    3.8 ,météo très défavorable ,17:14:00 ,07:03:00 ,1
2022-02-11 ,0                 ,-9                ,               15 ,-9                    ,-3                 ,0                     ,                0.5 ,                  95 ,            6.375 ,           1015 ,                93.875 ,              0 ,             0 ,-13            ,                 143 ,              326 ,                 122 ,          0.4 ,       1 ,    3.8 ,météo très défavorable ,17:16:00 ,07:02:00 ,-5
2022-02-12 ,2                 ,-15               ,               24 ,1                     ,-4                 ,-11                   ,                1   ,                  97 ,            8.25  ,           1027 ,                88.5   ,              2 ,             2 ,-16            ,                 122 ,              338 ,                 122 ,          0.5 ,       1 ,    3.8 ,météo très défavorable ,17:17:00 ,07:00:00 ,2
2022-02-13 ,-15               ,-20               ,                9 ,-20                   ,-17                ,-15                   ,                0   ,                  83 ,           10     ,           1030 ,                52.375 ,              0 ,             0 ,-26            ,                 116 ,              119 ,                 113 ,          0   ,       1 ,    5.6 ,météo très défavorable ,17:19:00 ,06:59:00 ,-17
2022-02-14 ,-13               ,-18               ,                8 ,-17                   ,-15                ,-13                   ,                0   ,                  89 ,           10     ,           1029 ,                88     ,              0 ,             0 ,-23            ,                 119 ,              122 ,                 122 ,          0   ,       1 ,    5.6 ,météo très défavorable ,17:20:00 ,06:57:00 ,-16
2022-02-15 ,-7                ,-13               ,               17 ,-13                   ,-9                 ,-9                    ,                0   ,                  87 ,           10     ,           1040 ,                77.75  ,              0 ,             0 ,-20            ,                 122 ,              122 ,                 113 ,          0   ,       1 ,    4   ,météo très défavorable ,17:22:00 ,06:56:00 ,-13
2022-02-16 ,1                 ,-19               ,               32 ,-18                   ,-6                 ,0                     ,                0   ,                  93 ,            9     ,           1042 ,                56.625 ,              1 ,             0 ,-23            ,                 116 ,              122 ,                 116 ,          0   ,       2 ,    4   ,météo très défavorable ,17:23:00 ,06:54:00 ,-19
2022-02-17 ,4                 ,-2                ,               21 ,4                     ,2                  ,1                     ,                7   ,                 100 ,            7     ,           1017 ,               100     ,              4 ,             3 ,-1             ,                 266 ,              296 ,                 296 ,          0   ,       1 ,    4   ,météo très défavorable ,17:25:00 ,06:53:00 ,4
2022-02-18 ,-4                ,-14               ,               17 ,-9                    ,-10                ,-9                    ,                6   ,                  94 ,            6.25  ,           1019 ,                91.375 ,              0 ,             0 ,-18            ,                 338 ,              332 ,                 116 ,          3.7 ,       1 ,    4   ,météo très défavorable ,17:26:00 ,06:51:00 ,-6
2022-02-19 ,-5                ,-22               ,               14 ,-14                   ,-5                 ,-6                    ,                1.6 ,                  95 ,            4.125 ,           1018 ,                87.75  ,              0 ,             0 ,-21            ,                 326 ,              338 ,                 371 ,          1.4 ,       1 ,    4   ,météo très défavorable ,17:27:00 ,06:49:00 ,-20
2022-02-20 ,-4                ,-21               ,               20 ,-21                   ,-13                ,-4                    ,                0.1 ,                  96 ,            8     ,           1029 ,                60.25  ,              0 ,             0 ,-27            ,                 143 ,              116 ,                 323 ,          0.1 ,       1 ,    7.2 ,météo très défavorable ,17:29:00 ,06:48:00 ,-16
2022-02-21 ,2                 ,-10               ,               22 ,1                     ,1                  ,-3                    ,                0.5 ,                 100 ,            8.375 ,           1033 ,                90.125 ,              2 ,             1 ,-7             ,                 122 ,              326 ,                 338 ,          0.4 ,       1 ,    4.1 ,météo très défavorable ,17:30:00 ,06:46:00 ,1
2022-02-22 ,-12               ,-16               ,               27 ,-15                   ,-16                ,-15                   ,               10.7 ,                  96 ,            4.875 ,           1034 ,               100     ,              0 ,             0 ,-26            ,                 338 ,              338 ,                 350 ,          9.1 ,       1 ,    4.1 ,météo très défavorable ,17:32:00 ,06:44:00 ,-14
